store_name,address,city,zipcode,store_type,latitude,longitude
Bolbol Produce Market,287 Naples St,Chula Vista,91911,Grocery Store,3844138.25960048,-13032000.2419578
Sombrero #3 Graves,1522 Graves Ave,El Cajon,92021,Restaurant Meals Program,3871371.4990154,-13019871.9834359
Walmart 5886,1550 LEUCADIA BLVD,ENCINITAS,92024,Super Store,3904501.08099334,-13054035.9351603
Dollar Tree 4939,651 Sweetwater Rd,Spring Valley,91977,Other,3856608.2209303,-13025629.4274997
Real Liquor,518 Jamacha Rd,El Cajon,92019,Convenience Store,3867447.93808236,-13016722.7550413
Lilac Foods,28958 Lilac Rd,Valley Center,92082,Other,3926715.26164596,-13030319.3176468
Top Fuel,1295 3rd Ave,Chula Vista,91911,Convenience Store,3843278.20911444,-13031754.2258832
Manolo Farmers Market #5,3550 National Ave,San Diego,92113,Other,3855161.37593817,-13037468.2553456
Crown Point Vp & Auto Center,3804 Ingraham St,San Diego,92109,Convenience Store,3867326.24582381,-13050872.235232
Horseshoe Liquor,949 Grand Ave,Spring Valley,91977,Convenience Store,3857496.89417724,-13024028.6532221
Dollar Tree 6707,1755 Euclid Ave,San Diego,92105,Other,3858606.87053414,-13033829.2211915
ACE NEW YORK GIANT PIZZA,8049 Winter Gardens Blvd,El Cajon,92021,Restaurant Meals Program,3871931.43322924,-13016907.5453961
Walgreens 12143,5504 Balboa Ave,San Diego,92111,Other,3871457.99764006,-13044562.6464938
Target Store T-1410,1288 Camino del Rio N,San Diego,92108,Super Store,3864545.80769027,-13041132.8929825
Target Store T-1815,910 Eastlake Pkwy,Chula Vista,91914,Super Store,3849177.7096356,-13020728.0303201
Target Store T-1846,3424 College Ave,San Diego,92115,Super Store,3861289.42478147,-13030211.3377408
Target Store T-0201,3245 Sports Arena Blvd,San Diego,92110,Super Store,3862381.49214267,-13047912.2499718
Greenfield Plaza Liquor,1101 Greenfield Dr,El Cajon,92021,Convenience Store,3870500.45488772,-13018177.700786
Himalayan Bazaar,7918 El Cajon Blvd,La Mesa,91942,Grocery Store,3864749.41941641,-13027321.4837598
Dollar Tree 4988,3861 Mission Ave,Oceanside,92058,Other,3925450.70051676,-13060942.1963691
Dollar Tree 5003,1853 Main St,Ramona,92065,Other,3899996.09568479,-13011343.7972462
Mi Reina Tortilleria,426 W 2nd Ave,Escondido,92025,Other,3911017.52216116,-13033931.6351231
Northgate Market 36,5403 University Ave,San Diego,92105,Super Store,3861792.76116402,-13033130.1347894
Smart & Final 935,150 B Ave,Coronado,92118,Super Store,3855137.6976786,-13043368.1883576
Target Store T-0205,8001 Othello Ave,San Diego,92111,Super Store,3871061.80471188,-13041083.9124065
Smart & Final 599,1845 W Vista Way,Vista,92083,Super Store,3920299.12011342,-13055615.5587347
CVS Pharmacy CVS11331,101 Park Plaza,San Diego,92101,Other,3856193.34443562,-13041924.374562
GOODY'S MARKETPLACE,3015 Voigt Drive  Bldg C,LA JOLLA,92093,Convenience Store,3879639.29767254,-13051074.8367052
Smart & Final 581,12339 Poway Rd,Poway,92064,Super Store,3888896.55692684,-13031472.5875714
G & M #39 G&M #39,1202 S Coast Hwy,Oceanside,92054,Convenience Store,3919691.77759283,-13065442.8433819
G & M #53 G&M #53,601 N Coast Hwy,Oceanside,92054,Convenience Store,3921811.36229692,-13066994.6370836
H Mart San Diego Llc,9440 Mira Mesa Blvd,San Diego,92126,Super Store,3884535.61596385,-13038000.3625116
Northgate Market 31,1950 Main St,San Diego,92113,Super Store,3855384.40366282,-13040552.9184355
Dollar Tree 5543,12340 Woodside Ave,Lakeside,92040,Other,3876306.91153861,-13016156.1388332
El Super 45,1527 Mission Ave,Oceanside,92058,Supermarket,3921959.03193265,-13065256.9398323
Gelsons Market 30,730 Turquoise St,San Diego,92109,Supermarket,3869912.77494508,-13053344.6411225
Gelson's Markets 26,7660 El Camino Real,Carlsbad,92009,Supermarket,3906859.71871723,-13054304.2151331
Ol Rodeo's,927 Broadway,El Cajon,92021,Grocery Store,3869803.63950676,-13018840.0517562
Smart & Final 936,360 E H St,Chula Vista,91910,Super Store,3847702.55861184,-13029881.832048
CVS Pharmacy 8833,3332 Sandrock Rd,San Diego,92123,Other,3869230.82749309,-13039911.7181685
CVS Pharmacy 8818,997 Woodland Pkwy,San Marcos,92069,Other,3916141.06673212,-13038745.089905
Smart & Final 940,2235 University Ave,San Diego,92104,Super Store,3861957.41228056,-13040029.7168287
Smart & Final 933,10633 Tierrasanta Blvd,San Diego,92124,Super Store,3871816.18554272,-13035581.3899766
CVS Pharmacy 8842,426 E Chase Ave,El Cajon,92020,Other,3866195.85235938,-13019566.9680311
Smart & Final 934,3681 Avocado Blvd,La Mesa,91941,Super Store,3861719.56892196,-13020237.1113657
Ec Chevron 1,3602 El Cajon Blvd,San Diego,92104,Convenience Store,3862914.26078007,-13037240.0503894
Jacumba Chevron,1496 Carrizo Gorge Rd,Jacumba,91934,Convenience Store,3847011.18622371,-12931577.8161183
CVS Pharmacy 8857,1441 N Santa Fe Ave,Vista,92084,Other,3924522.13008059,-13051637.0001337
CVS Pharmacy 8866,1706 Oceanside Blvd,Oceanside,92054,Other,3920871.10982103,-13064493.2881255
Walgreens 15388,301 University Ave,San Diego,92103,Other,3861934.64687667,-13042459.8213127
Clairemont Mesa Gas & Mini Market 42048,8820 Clairemont Mesa Blvd,San Diego,92123,Convenience Store,3872974.93981551,-13039741.3993476
Lemon Grove Arco 1,2717 Lemon Grove Ave,Lemon Grove,91945,Convenience Store,3860220.22059696,-13027882.5339934
Casita Nutrition,610 N Redondo Dr,Oceanside,92057,Grocery Store,3929193.14587735,-13057870.8916182
Trader Joe's 222,1072 Camino del Rio N,San Diego,92108,Supermarket,3864241.85290767,-13041639.3966656
Smart & Final 929,9870 N Magnolia Ave,Santee,92071,Super Store,3876246.21820179,-13021173.3082833
Family Dollar 10313,943 E Vista Way,Vista,92084,Other,3923367.97422642,-13050065.1689237
Dulceria Monarka,640 Highland Ave,National City,91950,Convenience Store,3852806.61364669,-13035424.4294946
K & S Liquor,305 N Ash St,Escondido,92027,Convenience Store,3912503.17166499,-13031832.1495267
McDonald's # 7791,725 E St,Chula Vista,91910,Restaurant Meals Program,3847675.85475961,-13035353.1850205
El Super 25,3007 Highland Ave,National City,91950,Supermarket,3849999.31556257,-13034493.7985516
CVS Pharmacy 7127,1302 W Mission Rd,San Marcos,92069,Other,3915123.09163657,-13045456.5420049
Ralley Quik Shop,1108 Broadway,El Cajon,92021,Convenience Store,3869875.42508168,-13018153.210498
7-eleven Store 13643f 13643F,6615 Linda Vista Rd,San Diego,92111,Convenience Store,3865311.95150341,-13043868.0128713
Apple Tree Market,4404 University Ave,San Diego,92105,Grocery Store,3862123.52164525,-13035481.2024349
Stage Stop Liquor,17128 Highway 76,Pauma Valley,92061,Grocery Store,3933689.05300796,-13019660.4764034
Smart & Final 930,13439 Camino Canada,El Cajon,92021,Super Store,3872088.54281327,-13013511.187732
Smart & Final 932,10740 Westview Pkwy,San Diego,92126,Super Store,3884195.07479825,-13037796.6478434
Smart & Final 931,2800 Fletcher Pkwy,El Cajon,92020,Super Store,3868764.91679525,-13024636.4576418
Aldi 79063,1750 University Dr,Vista,92083,Supermarket,3917964.76207837,-13048377.5654433
Dollar Tree 4996,1218 Broadway,Chula Vista,91911,Other,3843084.08528226,-13033255.925814
Dollar Tree 5034,941 Otay Lakes Rd,Chula Vista,91913,Other,3847711.15144841,-13023488.7536918
Walgreens 12915,7195 Broadway,Lemon Grove,91945,Other,3861168.85488557,-13029194.9907898
Walmart 5684,8810 GROSSMONT BLVD,LA MESA,91942,Super Store,3865334.1938512,-13025227.5641379
Walmart 5938,575 SATURN BLVD,SAN DIEGO,92154,Super Store,3840608.19543579,-13034319.026951
Dollar Tree 5041,12624 Poway Rd,Poway,92064,Other,3889220.38621126,-13030753.4636609
Randy's Mini Market,5739 El Cajon Blvd,San Diego,92115,Convenience Store,3863292.97133916,-13032517.87759
European Food Market,12222 Poway Rd,Poway,92064,Grocery Store,3888909.69034529,-13031819.9043827
7-eleven Store 24344d 24344D,1311 Palm Ave,Imperial Beach,91932,Convenience Store,3840131.52252969,-13036106.8179732
Circle K 2701984,795 Shadowridge Dr,Vista,92083,Convenience Store,3917393.57991017,-13049048.8219728
Circle K 2709423,9370 Paseo Montalban,San Diego,92129,Convenience Store,3889860.11131273,-13038161.7757732
Whole Foods Market 10434,2600 Via de la Valle,Del Mar,92014,Super Store,3892724.44353457,-13052291.5587396
Circle K 2709447,4730 Highway 76,Fallbrook,92028,Convenience Store,3939024.43241596,-13042466.5004822
